id,key,value,type
51166148,highway,turning_circle,regular
51168930,highway,turning_circle,regular
51171302,highway,turning_circle,regular
51172155,highway,turning_circle,regular
51172369,highway,turning_circle,regular
51172463,highway,turning_circle,regular
51172685,highway,turning_circle,regular
51172688,highway,turning_circle,regular
51175164,highway,turning_circle,regular
51175896,railway,level_crossing,regular
51176325,highway,traffic_signals,regular
51176644,highway,turning_circle,regular
51176676,highway,turning_circle,regular
51176677,highway,turning_circle,regular
51177160,highway,turning_circle,regular
51177560,highway,turning_circle,regular
51177974,highway,turning_circle,regular
51178008,highway,turning_circle,regular
51178389,highway,turning_circle,regular
51179499,highway,turning_circle,regular
51180495,highway,turning_circle,regular
51180944,highway,turning_circle,regular
51182435,highway,turning_circle,regular
51183410,lights,yes,crossing
51183410,railway,level_crossing,regular
51183410,source,Bing,regular
51183923,highway,turning_circle,regular
51184413,highway,turning_circle,regular
51185764,highway,turning_circle,regular
51185765,highway,turning_circle,regular
51185770,highway,turning_circle,regular
51186155,highway,turning_circle,regular
51186285,highway,turning_circle,regular
51186529,highway,turning_circle,regular
51186532,highway,turning_circle,regular
51186574,highway,turning_circle,regular
51187212,highway,turning_circle,regular
51187477,highway,turning_circle,regular
51187603,highway,turning_circle,regular
51187630,highway,turning_circle,regular
51187634,highway,turning_circle,regular
51187976,highway,turning_circle,regular
51189888,highway,traffic_signals,regular
51190290,highway,turning_circle,regular
51191805,highway,turning_circle,regular
51192114,highway,turning_circle,regular
51192758,railway,level_crossing,regular
51192866,railway,level_crossing,regular
51192880,highway,traffic_signals,regular
51192891,highway,traffic_signals,regular
51192906,highway,traffic_signals,regular
51192918,highway,stop,regular
51193103,highway,turning_circle,regular
51193330,highway,turning_circle,regular
51193855,highway,turning_circle,regular
51195411,highway,turning_circle,regular
51196235,railway,level_crossing,regular
51196572,highway,turning_circle,regular
51196975,highway,turning_circle,regular
51199509,highway,turning_circle,regular
51199514,highway,turning_circle,regular
51199524,highway,turning_circle,regular
51200002,highway,turning_circle,regular
51201002,highway,turning_circle,regular
51201038,highway,turning_circle,regular
51201519,highway,turning_circle,regular
51201726,highway,turning_circle,regular
51201770,highway,turning_circle,regular
51202111,highway,turning_circle,regular
51202380,highway,turning_circle,regular
51203283,noexit,yes,regular
51204450,highway,turning_circle,regular
51204608,highway,turning_circle,regular
51204676,highway,turning_circle,regular
51208942,highway,turning_circle,regular
51209461,highway,turning_circle,regular
51210709,highway,turning_circle,regular
51211925,highway,turning_circle,regular
51214653,highway,turning_circle,regular
51214809,highway,turning_circle,regular
51215147,highway,turning_circle,regular
51216490,railway,level_crossing,regular
51219077,highway,turning_circle,regular
51219080,highway,turning_circle,regular
51220009,highway,turning_circle,regular
51222385,highway,turning_circle,regular
51222572,highway,turning_circle,regular
51222573,highway,turning_circle,regular
51224716,highway,turning_circle,regular
51224725,highway,turning_circle,regular
51225511,highway,turning_circle,regular
51225676,highway,turning_circle,regular
51225836,highway,turning_circle,regular
51225839,highway,turning_circle,regular
51225900,highway,turning_circle,regular
51228182,highway,turning_circle,regular
51228599,highway,turning_circle,regular
51228624,highway,turning_circle,regular
51229385,highway,turning_circle,regular
51229400,highway,turning_circle,regular
51230498,highway,turning_circle,regular
51232156,highway,turning_circle,regular
51232205,highway,turning_circle,regular
51232487,highway,turning_circle,regular
51232942,highway,turning_circle,regular
51232948,highway,turning_circle,regular
51234105,highway,turning_circle,regular
51235080,highway,turning_circle,regular
51235086,highway,turning_circle,regular
51239994,highway,turning_circle,regular
51240256,highway,turning_circle,regular
51240279,highway,turning_circle,regular
51240281,highway,turning_circle,regular
51240282,highway,turning_circle,regular
51240286,highway,turning_circle,regular
51240486,highway,turning_circle,regular
51240718,highway,turning_circle,regular
51241003,highway,turning_circle,regular
51244097,highway,turning_circle,regular
51245046,highway,turning_circle,regular
51245207,highway,turning_circle,regular
51245526,highway,turning_circle,regular
51248798,highway,turning_circle,regular
51250044,highway,turning_circle,regular
51252177,highway,turning_circle,regular
51254066,highway,turning_circle,regular
51254069,highway,turning_circle,regular
51254070,highway,turning_circle,regular
51254220,highway,turning_circle,regular
51254344,barrier,gate,regular
51255693,highway,turning_circle,regular
51255764,highway,turning_circle,regular
51257385,highway,turning_circle,regular
51257404,highway,turning_circle,regular
51259249,highway,turning_circle,regular
51261004,highway,turning_circle,regular
51263600,highway,motorway_junction,regular
51263600,noref,yes,regular
51265793,railway,level_crossing,regular
51265849,highway,turning_circle,regular
51266041,railway,switch,regular
51266070,railway,level_crossing,regular
51266079,railway,level_crossing,regular
51266109,railway,level_crossing,regular
51266145,railway,level_crossing,regular
51266187,highway,turning_circle,regular
51266895,highway,turning_circle,regular
51268333,highway,turning_circle,regular
51268575,railway,level_crossing,regular
