id,user,uid,version,changeset,timestamp
5891995,tekim,191112,7,10442524,2012-01-20T00:12:41Z
5961327,ynglt,10126625,15,79911548,2020-01-22T11:13:14Z
6041730,chachafish,2237750,13,83773328,2020-04-19T13:38:37Z
6142887,TheDutchMan13,1330847,4,49230010,2017-06-03T21:44:44Z
6142937,TheDutchMan13,1330847,3,49230010,2017-06-03T21:44:45Z
6142939,TheDutchMan13,1330847,5,49230010,2017-06-03T21:44:46Z
6142951,scchevel,10252561,5,80518685,2020-02-04T08:10:00Z
6143031,phidauex,1231522,3,65630642,2018-12-20T05:53:30Z
6143034,DaveHansenTiger,7168,1,421546,2007-09-13T22:19:56Z
6143044,kshtdh,10127767,3,80306515,2020-01-30T10:15:04Z
6143388,jdoniche,10173458,6,83873253,2020-04-21T10:20:01Z
6143581,Krinkov,10645995,5,84954589,2020-05-10T00:16:51Z
6143665,Natfoot,567792,14,71042615,2019-06-08T03:59:06Z
6143716,MikeM44,112919,2,16867298,2013-07-07T23:37:44Z
6143719,phidauex,1231522,3,78294172,2019-12-12T04:49:09Z
6143929,befit1,10480272,3,82244303,2020-03-16T07:42:50Z
6143937,vsahith,9196087,4,98332685,2021-01-29T04:27:22Z
6144185,GPS_dr,117055,2,3669047,2010-01-20T19:10:18Z
6144363,kli_lyft,10313605,11,82396713,2020-03-19T15:32:32Z
6144448,inagans,10192109,3,79823116,2020-01-21T01:40:04Z
6144535,russdeffner,358440,2,17127904,2013-07-28T16:31:20Z
6144843,El Pescador,7445879,4,62778407,2018-09-20T21:55:12Z
6145178,phidauex,1231522,3,78293528,2019-12-12T04:34:39Z
6145200,Luis Garcia-Lopez,4764681,8,77474672,2019-11-24T05:49:35Z
6145298,russdeffner,358440,3,17127904,2013-07-28T16:31:19Z
6145323,russdeffner,358440,2,17127904,2013-07-28T16:31:21Z
6145702,Richard,165,2,28259934,2015-01-19T18:35:04Z
6145719,DaveHansenTiger,7168,1,423338,2007-09-14T00:05:03Z
6145726,DaveHansenTiger,7168,1,423338,2007-09-14T00:05:13Z
6145752,Mr_Brown,60650,2,8079005,2011-05-08T05:24:17Z
